detector	dev_accuracy	data	precision	recall	f1-score	support
trec_sst2_topk_3_nh_1	0.924	test_mpqa	1.0	0.954	0.9764585465711361	1000
trec_sst2_topk_3_nh_1	0.924	test_mr	1.0	0.963	0.9811512990320936	1000
trec_sst2_topk_3_nh_1	0.924	test_sst2	1.0	0.944	0.9711934156378601	1000
trec_sst2_topk_3_nh_1	0.924	test_trec	1.0	0.915	0.9556135770234987	1000
trec_sst2_topk_3_nh_4	0.9465	dev_trec	0.9523809523809523	0.94	0.9461499748364368	1000
trec_sst2_topk_3_nh_4	0.9465	dev_sst2	0.9407699901283317	0.953	0.9468455042225534	1000
trec_sst2_topk_3_nh_4	0.9465	test_cr	1.0	0.957	0.9780275932549821	1000
trec_sst2_topk_3_nh_4	0.9465	test_mpqa	1.0	0.967	0.9832231825114387	1000
trec_sst2_topk_3_nh_4	0.9465	test_mr	1.0	0.96	0.9795918367346939	1000
trec_sst2_topk_3_nh_4	0.9465	test_sst2	1.0	0.951	0.9748846745258841	1000
trec_sst2_topk_3_nh_4	0.9465	test_trec	1.0	0.929	0.9631933644375325	1000
trec_sst2_topk_3_nh_12	0.9975	dev_trec	0.997002997002997	0.998	0.9975012493753124	1000
trec_sst2_topk_3_nh_12	0.9975	dev_sst2	0.997997997997998	0.997	0.9974987493746873	1000
trec_sst2_topk_3_nh_12	0.9975	test_cr	1.0	0.989	0.9944695827048768	1000
trec_sst2_topk_3_nh_12	0.9975	test_mpqa	1.0	0.458	0.6282578875171468	1000
trec_sst2_topk_3_nh_12	0.9975	test_mr	1.0	0.991	0.9954796584630838	1000
trec_sst2_topk_3_nh_12	0.9975	test_sst2	1.0	0.986	0.9929506545820745	1000
trec_sst2_topk_3_nh_12	0.9975	test_trec	1.0	0.991	0.9954796584630838	1000
